PROJ,PROJ Description
epsg:2789,NAD83(HARN) / Idaho West
epsg:2790,NAD83(HARN) / Illinois East
epsg:2791,NAD83(HARN) / Illinois West
epsg:2792,NAD83(HARN) / Indiana East
epsg:2793,NAD83(HARN) / Indiana West
epsg:2794,NAD83(HARN) / Iowa North
epsg:2795,NAD83(HARN) / Iowa South
epsg:2796,NAD83(HARN) / Kansas North
epsg:2797,NAD83(HARN) / Kansas South
epsg:2798,NAD83(HARN) / Kentucky North
epsg:2799,NAD83(HARN) / Kentucky South
epsg:2800,NAD83(HARN) / Louisiana North
epsg:2801,NAD83(HARN) / Louisiana South
epsg:2802,NAD83(HARN) / Maine East
epsg:2803,NAD83(HARN) / Maine West
epsg:2804,NAD83(HARN) / Maryland
epsg:2805,NAD83(HARN) / Massachusetts Mainland
epsg:2806,NAD83(HARN) / Massachusetts Island
epsg:2807,NAD83(HARN) / Michigan North
epsg:2808,NAD83(HARN) / Michigan Central
epsg:2809,NAD83(HARN) / Michigan South
epsg:2810,NAD83(HARN) / Minnesota North
epsg:2811,NAD83(HARN) / Minnesota Central
epsg:2812,NAD83(HARN) / Minnesota South
epsg:2813,NAD83(HARN) / Mississippi East
epsg:2814,NAD83(HARN) / Mississippi West
epsg:2815,NAD83(HARN) / Missouri East
epsg:2816,NAD83(HARN) / Missouri Central
epsg:2817,NAD83(HARN) / Missouri West
epsg:2818,NAD83(HARN) / Montana
epsg:2819,NAD83(HARN) / Nebraska
epsg:2820,NAD83(HARN) / Nevada East
epsg:2821,NAD83(HARN) / Nevada Central
epsg:2822,NAD83(HARN) / Nevada West
epsg:2823,NAD83(HARN) / New Hampshire
epsg:2824,NAD83(HARN) / New Jersey
epsg:2825,NAD83(HARN) / New Mexico East
epsg:2826,NAD83(HARN) / New Mexico Central
epsg:2827,NAD83(HARN) / New Mexico West
epsg:2828,NAD83(HARN) / New York East
epsg:2829,NAD83(HARN) / New York Central
epsg:2830,NAD83(HARN) / New York West
epsg:2831,NAD83(HARN) / New York Long Island
epsg:2832,NAD83(HARN) / North Dakota North
epsg:2833,NAD83(HARN) / North Dakota South
epsg:2834,NAD83(HARN) / Ohio North
epsg:2835,NAD83(HARN) / Ohio South
epsg:2836,NAD83(HARN) / Oklahoma North
epsg:2837,NAD83(HARN) / Oklahoma South
epsg:2838,NAD83(HARN) / Oregon North
epsg:2839,NAD83(HARN) / Oregon South
